"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"Cuba";"1995";"MILLION KWH";"12459";""
"Cyprus";"2005";"MILLION KWH";"4377";""
"Cyprus";"2004";"MILLION KWH";"4200";""
"Cyprus";"2003";"MILLION KWH";"4053";""
"Cyprus";"2002";"MILLION KWH";"3785";""
"Cyprus";"2001";"MILLION KWH";"3551";""
"Cyprus";"2000";"MILLION KWH";"3370";""
"Cyprus";"1999";"MILLION KWH";"3139";""
"Cyprus";"1998";"MILLION KWH";"2954";""
"Cyprus";"1997";"MILLION KWH";"2711";""
"Cyprus";"1996";"MILLION KWH";"2592";""
"Cyprus";"1995";"MILLION KWH";"2473";""
"Czech Republic";"2005";"MILLION KWH";"82578";""
"Czech Republic";"2004";"MILLION KWH";"84333";""
"Czech Republic";"2003";"MILLION KWH";"83227";""
"Czech Republic";"2002";"MILLION KWH";"76348";""
"Czech Republic";"2001";"MILLION KWH";"74647";""
"Czech Republic";"2000";"MILLION KWH";"73466";""
"Czech Republic";"1999";"MILLION KWH";"64694";""
"Czech Republic";"1998";"MILLION KWH";"65112";""
"Czech Republic";"1997";"MILLION KWH";"64598";""
"Czech Republic";"1996";"MILLION KWH";"64261";""
"Czech Republic";"1995";"MILLION KWH";"60847";""
"Dem. Rep. of Congo";"2005";"MILLION KWH";"7419";""
"Dem. Rep. of Congo";"2004";"MILLION KWH";"6852";""
"Dem. Rep. of Congo";"2003";"MILLION KWH";"6258";""
"Dem. Rep. of Congo";"2002";"MILLION KWH";"6075";""
"Dem. Rep. of Congo";"2001";"MILLION KWH";"5898";""
"Dem. Rep. of Congo";"2000";"MILLION KWH";"6018";""
"Dem. Rep. of Congo";"1999";"MILLION KWH";"5320";""
"Dem. Rep. of Congo";"1998";"MILLION KWH";"4728";""
"Dem. Rep. of Congo";"1997";"MILLION KWH";"5423";""
"Dem. Rep. of Congo";"1996";"MILLION KWH";"5415";""
"Dem. Rep. of Congo";"1995";"MILLION KWH";"5378";""
"Denmark";"2005";"MILLION KWH";"36275";""
"Denmark";"2004";"MILLION KWH";"40432";""
"Denmark";"2003";"MILLION KWH";"46181";""
"Denmark";"2002";"MILLION KWH";"39283";""
"Denmark";"2001";"MILLION KWH";"37769";""
"Denmark";"2000";"MILLION KWH";"36146";""
"Denmark";"1999";"MILLION KWH";"39013";""
"Denmark";"1998";"MILLION KWH";"41208";""
"Denmark";"1997";"MILLION KWH";"44307";""
"Denmark";"1996";"MILLION KWH";"54861";""
"Denmark";"1995";"MILLION KWH";"38054";""
"Djibouti";"2005";"MILLION KWH";"255";""
"Djibouti";"2004";"MILLION KWH";"215";""
"Djibouti";"2003";"MILLION KWH";"200";""
"Djibouti";"2002";"MILLION KWH";"200";""
"Djibouti";"2001";"MILLION KWH";"190";""
"Djibouti";"2000";"MILLION KWH";"180";""
"Djibouti";"1999";"MILLION KWH";"180";""
"Djibouti";"1998";"MILLION KWH";"187";""
"Djibouti";"1997";"MILLION KWH";"187";""
"Djibouti";"1996";"MILLION KWH";"185";""
"Djibouti";"1995";"MILLION KWH";"184";""
"Dominica";"2005";"MILLION KWH";"84";""
"Dominica";"2004";"MILLION KWH";"79";""
"Dominica";"2003";"MILLION KWH";"79";""
"Dominica";"2002";"MILLION KWH";"80";""
"Dominica";"2001";"MILLION KWH";"81";""
"Dominica";"2000";"MILLION KWH";"77";""
"Dominica";"1999";"MILLION KWH";"74";""
"Dominica";"1998";"MILLION KWH";"70";""
"Dominica";"1997";"MILLION KWH";"66";""
"Dominica";"1996";"MILLION KWH";"60";""
"Dominica";"1995";"MILLION KWH";"56";""
"Dominican Republic";"2005";"MILLION KWH";"12961";"3"
"Dominican Republic";"2004";"MILLION KWH";"13829";"3"
"Dominican Republic";"2003";"MILLION KWH";"13552";"3"
"Dominican Republic";"2002";"MILLION KWH";"11510";"3"
"Dominican Republic";"2001";"MILLION KWH";"10308";"3"
"Dominican Republic";"2000";"MILLION KWH";"8538";"3"
"Dominican Republic";"1999";"MILLION KWH";"7676";"3"
"Dominican Republic";"1998";"MILLION KWH";"7693";"3"
"Dominican Republic";"1997";"MILLION KWH";"7236";"3"
"Dominican Republic";"1996";"MILLION KWH";"6615";"3"
"Dominican Republic";"1995";"MILLION KWH";"5477";"3"
"East Timor";"2005";"MILLION KWH";"300";""
"East Timor";"2004";"MILLION KWH";"300";""
"East Timor";"2003";"MILLION KWH";"300";""
"East Timor";"2002";"MILLION KWH";"300";""
"Ecuador";"2005";"MILLION KWH";"13404";""
"Ecuador";"2004";"MILLION KWH";"12585";""
"Ecuador";"2003";"MILLION KWH";"11546";""
"Ecuador";"2002";"MILLION KWH";"11888";""
"Ecuador";"2001";"MILLION KWH";"11050";""
"Ecuador";"2000";"MILLION KWH";"10612";""
"Ecuador";"1999";"MILLION KWH";"10308";""
"Ecuador";"1998";"MILLION KWH";"10896";""
"Ecuador";"1997";"MILLION KWH";"10362";""
"Ecuador";"1996";"MILLION KWH";"9225";""
"Ecuador";"1995";"MILLION KWH";"8349";""
"Egypt";"2005";"MILLION KWH";"108690";"2"
"Egypt";"2004";"MILLION KWH";"101299";"2"
"Egypt";"2003";"MILLION KWH";"91932";"2"
"Egypt";"2002";"MILLION KWH";"85946";"2"
"Egypt";"2001";"MILLION KWH";"76808";"2"
"Egypt";"2000";"MILLION KWH";"70337";"2"
"Egypt";"1999";"MILLION KWH";"65171";"2"
"Egypt";"1998";"MILLION KWH";"59593";"2"
"Egypt";"1997";"MILLION KWH";"57075";"2"
"Egypt";"1996";"MILLION KWH";"54898";"2"
"Egypt";"1995";"MILLION KWH";"52500";"2"
"El Salvador";"2005";"MILLION KWH";"4788";""
"El Salvador";"2004";"MILLION KWH";"4468";""
"El Salvador";"2003";"MILLION KWH";"4128";""
"El Salvador";"2002";"MILLION KWH";"4100";""
"El Salvador";"2001";"MILLION KWH";"3908";""
"El Salvador";"2000";"MILLION KWH";"3851";""
"El Salvador";"1999";"MILLION KWH";"3792";""
"El Salvador";"1998";"MILLION KWH";"3837";""
"El Salvador";"1997";"MILLION KWH";"3643";""
"El Salvador";"1996";"MILLION KWH";"3452";""
"El Salvador";"1995";"MILLION KWH";"3398";""
"Equatorial Guinea";"2005";"MILLION KWH";"27";""
"Equatorial Guinea";"2004";"MILLION KWH";"27";""
"Equatorial Guinea";"2003";"MILLION KWH";"26";""
"Equatorial Guinea";"2002";"MILLION KWH";"26";""
"Equatorial Guinea";"2001";"MILLION KWH";"23";""
"Equatorial Guinea";"2000";"MILLION KWH";"23";""
"Equatorial Guinea";"1999";"MILLION KWH";"21";""
"Equatorial Guinea";"1998";"MILLION KWH";"21";""
"Equatorial Guinea";"1997";"MILLION KWH";"20";""
"Equatorial Guinea";"1996";"MILLION KWH";"20";""
"Equatorial Guinea";"1995";"MILLION KWH";"20";""
"Eritrea";"2005";"MILLION KWH";"289";""
"Eritrea";"2004";"MILLION KWH";"283";""
"Eritrea";"2003";"MILLION KWH";"276";""
"Eritrea";"2002";"MILLION KWH";"258";""
"Eritrea";"2001";"MILLION KWH";"232";""
"Eritrea";"2000";"MILLION KWH";"209";""
"Eritrea";"1999";"MILLION KWH";"213";""
"Eritrea";"1998";"MILLION KWH";"194";""
"Eritrea";"1997";"MILLION KWH";"202";""
"Eritrea";"1996";"MILLION KWH";"166";""
"Eritrea";"1995";"MILLION KWH";"150";""
"Estonia";"2005";"MILLION KWH";"10002";""
"Estonia";"2004";"MILLION KWH";"10128";""
"Estonia";"2003";"MILLION KWH";"10159";""
"Estonia";"2002";"MILLION KWH";"8520";""
"Estonia";"2001";"MILLION KWH";"8484";""
"Estonia";"2000";"MILLION KWH";"8513";""
"Estonia";"1999";"MILLION KWH";"8268";""
"Estonia";"1998";"MILLION KWH";"8522";""
"Estonia";"1997";"MILLION KWH";"9218";""
"Estonia";"1996";"MILLION KWH";"9103";""
"Estonia";"1995";"MILLION KWH";"8693";""
"Ethiopia";"2005";"MILLION KWH";"2872";""
"Ethiopia";"2004";"MILLION KWH";"2547";""
"Ethiopia";"2003";"MILLION KWH";"2309";""
"Ethiopia";"2002";"MILLION KWH";"2050";""
"Ethiopia";"2001";"MILLION KWH";"1821";""
"Ethiopia";"2000";"MILLION KWH";"1696";""
"Ethiopia";"1999";"MILLION KWH";"1660";""
"Ethiopia";"1998";"MILLION KWH";"1655";""
"Ethiopia";"1997";"MILLION KWH";"1620";""
"Ethiopia";"1996";"MILLION KWH";"1559";""
"Ethiopia";"1995";"MILLION KWH";"1470";""
"Faeroe Islands";"2005";"MILLION KWH";"290";""
"Faeroe Islands";"2004";"MILLION KWH";"290";""
"Faeroe Islands";"2003";"MILLION KWH";"270";""
"Faeroe Islands";"2002";"MILLION KWH";"240";""
"Faeroe Islands";"2001";"MILLION KWH";"200";""
"Faeroe Islands";"2000";"MILLION KWH";"180";""
"Faeroe Islands";"1999";"MILLION KWH";"180";""
"Faeroe Islands";"1998";"MILLION KWH";"180";""
"Faeroe Islands";"1997";"MILLION KWH";"181";""
"Faeroe Islands";"1996";"MILLION KWH";"180";""
"Faeroe Islands";"1995";"MILLION KWH";"175";""
"Falkland Is. (Malvinas)";"2005";"MILLION KWH";"16";""
"Falkland Is. (Malvinas)";"2004";"MILLION KWH";"16";""
"Falkland Is. (Malvinas)";"2003";"MILLION KWH";"16";""
"Falkland Is. (Malvinas)";"2002";"MILLION KWH";"16";""
"Falkland Is. (Malvinas)";"2001";"MILLION KWH";"16";""
"Falkland Is. (Malvinas)";"2000";"MILLION KWH";"15";""
"Falkland Is. (Malvinas)";"1999";"MILLION KWH";"15";""
"Falkland Is. (Malvinas)";"1998";"MILLION KWH";"15";""
"Falkland Is. (Malvinas)";"1997";"MILLION KWH";"12";""
"Falkland Is. (Malvinas)";"1996";"MILLION KWH";"12";""
"Falkland Is. (Malvinas)";"1995";"MILLION KWH";"12";""
"Fiji";"2005";"MILLION KWH";"823";""
"Fiji";"2004";"MILLION KWH";"816";""
"Fiji";"2003";"MILLION KWH";"812";""
"Fiji";"2002";"MILLION KWH";"765";""
"Fiji";"2001";"MILLION KWH";"726";""
"Fiji";"2000";"MILLION KWH";"688";""
"Fiji";"1999";"MILLION KWH";"699";""
"Fiji";"1998";"MILLION KWH";"631";""
"Fiji";"1997";"MILLION KWH";"610";""
"Fiji";"1996";"MILLION KWH";"591";""
"Fiji";"1995";"MILLION KWH";"544";""
"Finland";"2005";"MILLION KWH";"70550";""
"Finland";"2004";"MILLION KWH";"85847";""
"Finland";"2003";"MILLION KWH";"84230";""
"Finland";"2002";"MILLION KWH";"74901";""
"Finland";"2001";"MILLION KWH";"74453";""
"Finland";"2000";"MILLION KWH";"69991";""
"Finland";"1999";"MILLION KWH";"69457";""
"Finland";"1998";"MILLION KWH";"70166";""
"Finland";"1997";"MILLION KWH";"72195";""
"Finland";"1996";"MILLION KWH";"69372";""
"Finland";"1995";"MILLION KWH";"63896";""
"France incl. Monaco";"2005";"MILLION KWH";"575351";""
"France incl. Monaco";"2004";"MILLION KWH";"572241";""
"France incl. Monaco";"2003";"MILLION KWH";"566949";""
"France incl. Monaco";"2002";"MILLION KWH";"559186";""
"France incl. Monaco";"2001";"MILLION KWH";"548704";""
"France incl. Monaco";"2000";"MILLION KWH";"541110";""
"France incl. Monaco";"1999";"MILLION KWH";"525809";""
"France incl. Monaco";"1998";"MILLION KWH";"511027";""
"France incl. Monaco";"1997";"MILLION KWH";"504500";""
"France incl. Monaco";"1996";"MILLION KWH";"517405";""
"France incl. Monaco";"1995";"MILLION KWH";"497417";""
"French Guiana";"2005";"MILLION KWH";"430";""
"French Guiana";"2004";"MILLION KWH";"430";""
"French Guiana";"2003";"MILLION KWH";"440";""
"French Guiana";"2002";"MILLION KWH";"450";""
"French Guiana";"2001";"MILLION KWH";"430";""
"French Guiana";"2000";"MILLION KWH";"430";""
"French Guiana";"1999";"MILLION KWH";"430";""
"French Guiana";"1998";"MILLION KWH";"453";""
"French Guiana";"1997";"MILLION KWH";"450";""
"French Guiana";"1996";"MILLION KWH";"450";""
"French Guiana";"1995";"MILLION KWH";"450";""
"French Polynesia";"2005";"MILLION KWH";"493";""
"French Polynesia";"2004";"MILLION KWH";"485";""
"French Polynesia";"2003";"MILLION KWH";"479";""
"French Polynesia";"2002";"MILLION KWH";"507";""
"French Polynesia";"2001";"MILLION KWH";"496";""
"French Polynesia";"2000";"MILLION KWH";"407";""
"French Polynesia";"1999";"MILLION KWH";"365";""
"French Polynesia";"1998";"MILLION KWH";"354";""
"French Polynesia";"1997";"MILLION KWH";"344";""
"French Polynesia";"1996";"MILLION KWH";"335";""
"French Polynesia";"1995";"MILLION KWH";"349";""
"Gabon";"2005";"MILLION KWH";"1569";""
"Gabon";"2004";"MILLION KWH";"1537";""
"Gabon";"2003";"MILLION KWH";"1504";""
"Gabon";"2002";"MILLION KWH";"1457";""
"Gabon";"2001";"MILLION KWH";"1382";""
"Gabon";"2000";"MILLION KWH";"1315";""
"Gabon";"1999";"MILLION KWH";"1328";""
"Gabon";"1998";"MILLION KWH";"1343";""
"Gabon";"1997";"MILLION KWH";"1256";""
"Gabon";"1996";"MILLION KWH";"1214";""
"Gabon";"1995";"MILLION KWH";"1139";""
"Gambia";"2005";"MILLION KWH";"151";""
"Gambia";"2004";"MILLION KWH";"151";""
"Gambia";"2003";"MILLION KWH";"151";""
"Gambia";"2002";"MILLION KWH";"151";""
"Gambia";"2001";"MILLION KWH";"135";""
"Gambia";"2000";"MILLION KWH";"132";""
"Gambia";"1999";"MILLION KWH";"97";""
"Gambia";"1998";"MILLION KWH";"87";""
"Gambia";"1997";"MILLION KWH";"80";""
"Gambia";"1996";"MILLION KWH";"76";""
"Gambia";"1995";"MILLION KWH";"74";""
"Georgia";"2005";"MILLION KWH";"7267";""
"Georgia";"2004";"MILLION KWH";"6924";""
"Georgia";"2003";"MILLION KWH";"7160";""
"Georgia";"2002";"MILLION KWH";"7257";""
"Georgia";"2001";"MILLION KWH";"6937";""
"Georgia";"2000";"MILLION KWH";"7424";""
"Georgia";"1999";"MILLION KWH";"7683";""
"Georgia";"1998";"MILLION KWH";"7671";""
"Georgia";"1997";"MILLION KWH";"7163";""
"Georgia";"1996";"MILLION KWH";"7187";""
"Georgia";"1995";"MILLION KWH";"8154";""
"Germany";"2005";"MILLION KWH";"620300";""
"Germany";"2004";"MILLION KWH";"616785";""
"Germany";"2003";"MILLION KWH";"600822";""
"Germany";"2002";"MILLION KWH";"571645";""
"Germany";"2001";"MILLION KWH";"586340";""
"Germany";"2000";"MILLION KWH";"571352";""
"Germany";"1999";"MILLION KWH";"554097";""
"Germany";"1998";"MILLION KWH";"556393";""
"Germany";"1997";"MILLION KWH";"554509";""
"Germany";"1996";"MILLION KWH";"556317";""
"Germany";"1995";"MILLION KWH";"537226";""
"Ghana";"2005";"MILLION KWH";"6793";""
"Ghana";"2004";"MILLION KWH";"6044";""
"Ghana";"2003";"MILLION KWH";"5908";""
"Ghana";"2002";"MILLION KWH";"7301";""
"Ghana";"2001";"MILLION KWH";"7864";""
"Ghana";"2000";"MILLION KWH";"7224";""
"Ghana";"1999";"MILLION KWH";"5929";""
"Ghana";"1998";"MILLION KWH";"5017";""
"Ghana";"1997";"MILLION KWH";"6904";""
"Ghana";"1996";"MILLION KWH";"6631";""
"Ghana";"1995";"MILLION KWH";"6188";""
"Gibraltar";"2005";"MILLION KWH";"145";""
"Gibraltar";"2004";"MILLION KWH";"136";""
"Gibraltar";"2003";"MILLION KWH";"134";""
"Gibraltar";"2002";"MILLION KWH";"129";""
"Gibraltar";"2001";"MILLION KWH";"126";""
"Gibraltar";"2000";"MILLION KWH";"125";""
"Gibraltar";"1999";"MILLION KWH";"120";""
"Gibraltar";"1998";"MILLION KWH";"116";""
"Gibraltar";"1997";"MILLION KWH";"113";""
"Gibraltar";"1996";"MILLION KWH";"109";""
"Gibraltar";"1995";"MILLION KWH";"108";""
"Greece";"2005";"MILLION KWH";"60020";""
"Greece";"2004";"MILLION KWH";"59344";""
"Greece";"2003";"MILLION KWH";"58478";""
"Greece";"2002";"MILLION KWH";"54608";""
"Greece";"2001";"MILLION KWH";"53704";""
"Greece";"2000";"MILLION KWH";"53843";""
"Greece";"1999";"MILLION KWH";"49632";""
"Greece";"1998";"MILLION KWH";"46329";""
"Greece";"1997";"MILLION KWH";"43800";""
"Greece";"1996";"MILLION KWH";"42790";""
"Greece";"1995";"MILLION KWH";"41995";""
"Greenland";"2005";"MILLION KWH";"272";""
"Greenland";"2004";"MILLION KWH";"270";""
"Greenland";"2003";"MILLION KWH";"268";""
"Greenland";"2002";"MILLION KWH";"266";""
"Greenland";"2001";"MILLION KWH";"264";""
"Greenland";"2000";"MILLION KWH";"263";""
"Greenland";"1999";"MILLION KWH";"260";""
"Greenland";"1998";"MILLION KWH";"260";""
"Greenland";"1997";"MILLION KWH";"259";""
"Greenland";"1996";"MILLION KWH";"258";""
"Greenland";"1995";"MILLION KWH";"257";""
"Grenada";"2005";"MILLION KWH";"166";""
"Grenada";"2004";"MILLION KWH";"157";""
"Grenada";"2003";"MILLION KWH";"153";""
"Grenada";"2002";"MILLION KWH";"153";""
"Grenada";"2001";"MILLION KWH";"146";""
"Grenada";"2000";"MILLION KWH";"134";""
"Grenada";"1999";"MILLION KWH";"116";""
"Grenada";"1998";"MILLION KWH";"112";""
"Grenada";"1997";"MILLION KWH";"103";""
"Grenada";"1996";"MILLION KWH";"95";""
"Grenada";"1995";"MILLION KWH";"88";""
"Guadeloupe";"2005";"MILLION KWH";"1175";""
"Guadeloupe";"2004";"MILLION KWH";"1165";""
"Guadeloupe";"2003";"MILLION KWH";"1165";""
"Guadeloupe";"2002";"MILLION KWH";"1160";""
"Guadeloupe";"2001";"MILLION KWH";"1225";""
"Guadeloupe";"2000";"MILLION KWH";"1220";""
"Guadeloupe";"1999";"MILLION KWH";"1218";""
"Guadeloupe";"1998";"MILLION KWH";"1215";""
"Guadeloupe";"1997";"MILLION KWH";"1211";""
"Guadeloupe";"1996";"MILLION KWH";"1128";""
"Guadeloupe";"1995";"MILLION KWH";"1063";""
"Guam";"2005";"MILLION KWH";"1897";""
"Guam";"2004";"MILLION KWH";"1877";""
"Guam";"2003";"MILLION KWH";"1777";""
"Guam";"2002";"MILLION KWH";"1719";""
"Guam";"2001";"MILLION KWH";"1947";""
"Guam";"2000";"MILLION KWH";"1941";""
"Guam";"1999";"MILLION KWH";"1903";""
"Guam";"1998";"MILLION KWH";"1857";""
"Guam";"1997";"MILLION KWH";"1833";""
"Guam";"1996";"MILLION KWH";"1811";""
"Guam";"1995";"MILLION KWH";"1694";""
"Guatemala";"2005";"MILLION KWH";"7550";""
"Guatemala";"2004";"MILLION KWH";"7009";""
"Guatemala";"2003";"MILLION KWH";"6561";""
"Guatemala";"2002";"MILLION KWH";"6191";""
"Guatemala";"2001";"MILLION KWH";"5856";""
"Guatemala";"2000";"MILLION KWH";"6048";""
"Guatemala";"1999";"MILLION KWH";"5186";""
"Guatemala";"1998";"MILLION KWH";"4456";""
"Guatemala";"1997";"MILLION KWH";"4132";""
"Guatemala";"1996";"MILLION KWH";"3696";""
"Guatemala";"1995";"MILLION KWH";"3413";""
"Guinea";"2005";"MILLION KWH";"802";""
"Guinea";"2004";"MILLION KWH";"801";""
"Guinea";"2003";"MILLION KWH";"801";""
"Guinea";"2002";"MILLION KWH";"798";""
"Guinea";"2001";"MILLION KWH";"796";""
"Guinea";"2000";"MILLION KWH";"768";""
"Guinea";"1999";"MILLION KWH";"750";""
"Guinea";"1998";"MILLION KWH";"667";""
"Guinea";"1997";"MILLION KWH";"643";""
"Guinea";"1996";"MILLION KWH";"628";""
"Guinea";"1995";"MILLION KWH";"537";""
"Guinea-Bissau";"2005";"MILLION KWH";"61";""
"Guinea-Bissau";"2004";"MILLION KWH";"61";""
"Guinea-Bissau";"2003";"MILLION KWH";"61";""
"Guinea-Bissau";"2002";"MILLION KWH";"60";""
"Guinea-Bissau";"2001";"MILLION KWH";"60";""
"Guinea-Bissau";"2000";"MILLION KWH";"58";""
"Guinea-Bissau";"1999";"MILLION KWH";"54";""
"Guinea-Bissau";"1998";"MILLION KWH";"53";""
"Guinea-Bissau";"1997";"MILLION KWH";"53";""
"Guinea-Bissau";"1996";"MILLION KWH";"51";""
"Guinea-Bissau";"1995";"MILLION KWH";"50";""
"Guyana";"2005";"MILLION KWH";"861";""
"Guyana";"2004";"MILLION KWH";"835";""
"Guyana";"2003";"MILLION KWH";"819";""
"Guyana";"2002";"MILLION KWH";"914";""
"Guyana";"2001";"MILLION KWH";"918";""
"Guyana";"2000";"MILLION KWH";"897";""
"Guyana";"1999";"MILLION KWH";"866";""
"Guyana";"1998";"MILLION KWH";"854";""
"Guyana";"1997";"MILLION KWH";"792";""
"Guyana";"1996";"MILLION KWH";"693";""
"Guyana";"1995";"MILLION KWH";"573";""
"Haiti";"2005";"MILLION KWH";"556";""
"Haiti";"2004";"MILLION KWH";"547";""
"Haiti";"2003";"MILLION KWH";"535";""
"Haiti";"2002";"MILLION KWH";"547";""
"Haiti";"2001";"MILLION KWH";"594";""
"Haiti";"2000";"MILLION KWH";"547";""
"Haiti";"1999";"MILLION KWH";"698";""
"Haiti";"1998";"MILLION KWH";"663";""
"Haiti";"1997";"MILLION KWH";"633";""
"Haiti";"1996";"MILLION KWH";"633";""
"Haiti";"1995";"MILLION KWH";"523";""
"Honduras";"2005";"MILLION KWH";"5545";""
"Honduras";"2004";"MILLION KWH";"4877";""
"Honduras";"2003";"MILLION KWH";"4530";""
"Honduras";"2002";"MILLION KWH";"4165";""
"Honduras";"2001";"MILLION KWH";"3917";""
"Honduras";"2000";"MILLION KWH";"3659";""
"Honduras";"1999";"MILLION KWH";"3184";""
"Honduras";"1998";"MILLION KWH";"3414";""
"Honduras";"1997";"MILLION KWH";"2429";""
"Honduras";"1996";"MILLION KWH";"2985";""
"Honduras";"1995";"MILLION KWH";"2838";""
"Hong Kong SAR";"2005";"MILLION KWH";"38451";""
"Hong Kong SAR";"2004";"MILLION KWH";"37129";""
"Hong Kong SAR";"2003";"MILLION KWH";"35506";""
"Hong Kong SAR";"2002";"MILLION KWH";"34312";""
"Hong Kong SAR";"2001";"MILLION KWH";"32429";""
"Hong Kong SAR";"2000";"MILLION KWH";"31329";""
"Hong Kong SAR";"1999";"MILLION KWH";"29496";""
"Hong Kong SAR";"1998";"MILLION KWH";"31414";""
"Hong Kong SAR";"1997";"MILLION KWH";"28943";""
"Hong Kong SAR";"1996";"MILLION KWH";"28440";""
"Hong Kong SAR";"1995";"MILLION KWH";"27916";""
"Hungary";"2005";"MILLION KWH";"35756";""
"Hungary";"2004";"MILLION KWH";"33708";""
"Hungary";"2003";"MILLION KWH";"34145";""
"Hungary";"2002";"MILLION KWH";"36156";""
"Hungary";"2001";"MILLION KWH";"36414";""
"Hungary";"2000";"MILLION KWH";"35191";""
"Hungary";"1999";"MILLION KWH";"37831";""
"Hungary";"1998";"MILLION KWH";"37188";""
"Hungary";"1997";"MILLION KWH";"35396";""
"Hungary";"1996";"MILLION KWH";"35091";""
"Hungary";"1995";"MILLION KWH";"34017";""
"Iceland";"2005";"MILLION KWH";"8683";""
"Iceland";"2004";"MILLION KWH";"8623";""
"Iceland";"2003";"MILLION KWH";"8500";""
"Iceland";"2002";"MILLION KWH";"8416";""
"Iceland";"2001";"MILLION KWH";"8033";""
"Iceland";"2000";"MILLION KWH";"7684";""
"Iceland";"1999";"MILLION KWH";"7188";""
"Iceland";"1998";"MILLION KWH";"6281";""
"Iceland";"1997";"MILLION KWH";"5586";""
"Iceland";"1996";"MILLION KWH";"5123";""
"Iceland";"1995";"MILLION KWH";"4981";""
"India";"2005";"MILLION KWH";"697234";"4"
"India";"2004";"MILLION KWH";"665873";"4"
"India";"2003";"MILLION KWH";"633275";"4"
"India";"2002";"MILLION KWH";"596543";"4"
"India";"2001";"MILLION KWH";"579120";"4"
"India";"2000";"MILLION KWH";"560842";"4"
"India";"1999";"MILLION KWH";"536452";"4"
"India";"1998";"MILLION KWH";"496924";"4"
"India";"1997";"MILLION KWH";"465825";"4"
"India";"1996";"MILLION KWH";"436879";"4"
"India";"1995";"MILLION KWH";"418043";"4"
"Indonesia";"2005";"MILLION KWH";"127362";""
"Indonesia";"2004";"MILLION KWH";"120160";""
"Indonesia";"2003";"MILLION KWH";"112944";""
"Indonesia";"2002";"MILLION KWH";"108206";""
"Indonesia";"2001";"MILLION KWH";"101647";""
"Indonesia";"2000";"MILLION KWH";"99511";""
"Indonesia";"1999";"MILLION KWH";"95944";""
"Indonesia";"1998";"MILLION KWH";"76017";""
"Indonesia";"1997";"MILLION KWH";"84096";""
"Indonesia";"1996";"MILLION KWH";"78117";""
"Indonesia";"1995";"MILLION KWH";"68399";""
"Iran(Islamic Rep. of)";"2005";"MILLION KWH";"180390";"1"
"Iran(Islamic Rep. of)";"2004";"MILLION KWH";"166016";"1"
"Iran(Islamic Rep. of)";"2003";"MILLION KWH";"152599";"1"
"Iran(Islamic Rep. of)";"2002";"MILLION KWH";"140759";"1"
"Iran(Islamic Rep. of)";"2001";"MILLION KWH";"130029";"1"
"Iran(Islamic Rep. of)";"2000";"MILLION KWH";"121314";"1"
"Iran(Islamic Rep. of)";"1999";"MILLION KWH";"112596";"1"
"Iran(Islamic Rep. of)";"1998";"MILLION KWH";"103412";"1"
"Iran(Islamic Rep. of)";"1997";"MILLION KWH";"97744";"1"
"Iran(Islamic Rep. of)";"1996";"MILLION KWH";"90851";"1"
"Iran(Islamic Rep. of)";"1995";"MILLION KWH";"84969";"1"
"Iraq";"2005";"MILLION KWH";"34000";""
"Iraq";"2004";"MILLION KWH";"32295";""
"Iraq";"2003";"MILLION KWH";"28340";""
"Iraq";"2002";"MILLION KWH";"33863";""
"Iraq";"2001";"MILLION KWH";"32251";""
"Iraq";"2000";"MILLION KWH";"31900";""
"Iraq";"1999";"MILLION KWH";"32678";""
"Iraq";"1998";"MILLION KWH";"32045";""
"Iraq";"1997";"MILLION KWH";"29561";""
"Iraq";"1996";"MILLION KWH";"29050";""
"Iraq";"1995";"MILLION KWH";"29000";""
"Ireland";"2005";"MILLION KWH";"25970";""
"Ireland";"2004";"MILLION KWH";"25569";""
"Ireland";"2003";"MILLION KWH";"25317";""
"Ireland";"2002";"MILLION KWH";"25290";""
"Ireland";"2001";"MILLION KWH";"24964";""
"Ireland";"2000";"MILLION KWH";"24037";""
"Ireland";"1999";"MILLION KWH";"23633";""
"Ireland";"1998";"MILLION KWH";"21861";""
"Ireland";"1997";"MILLION KWH";"20289";""
"Ireland";"1996";"MILLION KWH";"19523";""
"Ireland";"1995";"MILLION KWH";"18254";""
"Israel";"2005";"MILLION KWH";"49843";""
"Israel";"2004";"MILLION KWH";"48481";""
"Israel";"2003";"MILLION KWH";"47041";""
"Israel";"2002";"MILLION KWH";"45363";""
"Israel";"2001";"MILLION KWH";"43837";""
"Israel";"2000";"MILLION KWH";"42968";""
"Israel";"1999";"MILLION KWH";"39228";""
"Israel";"1998";"MILLION KWH";"37976";""
"Israel";"1997";"MILLION KWH";"35111";""
"Israel";"1996";"MILLION KWH";"32510";""
"Israel";"1995";"MILLION KWH";"30388";""
"Italy and San Marino";"2005";"MILLION KWH";"303699";""
"Italy and San Marino";"2004";"MILLION KWH";"303347";""
"Italy and San Marino";"2003";"MILLION KWH";"293884";""
"Italy and San Marino";"2002";"MILLION KWH";"285276";""
"Italy and San Marino";"2001";"MILLION KWH";"279009";""
"Italy and San Marino";"2000";"MILLION KWH";"276642";""
"Italy and San Marino";"1999";"MILLION KWH";"265667";""
"Italy and San Marino";"1998";"MILLION KWH";"267869";""
"Italy and San Marino";"1997";"MILLION KWH";"258846";""
"Italy and San Marino";"1996";"MILLION KWH";"251620";""
