"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"Australia";"1995";"MILLION KWH";"173384";"2"
"Austria";"2005";"MILLION KWH";"65681";""
"Austria";"2004";"MILLION KWH";"64125";""
"Austria";"2003";"MILLION KWH";"60100";""
"Austria";"2002";"MILLION KWH";"62488";""
"Austria";"2001";"MILLION KWH";"62344";""
"Austria";"2000";"MILLION KWH";"61820";""
"Austria";"1999";"MILLION KWH";"60516";""
"Austria";"1998";"MILLION KWH";"57462";""
"Austria";"1997";"MILLION KWH";"56874";""
"Austria";"1996";"MILLION KWH";"55837";""
"Austria";"1995";"MILLION KWH";"56587";""
"Azerbaijan";"2005";"MILLION KWH";"22872";""
"Azerbaijan";"2004";"MILLION KWH";"21743";""
"Azerbaijan";"2003";"MILLION KWH";"21286";""
"Azerbaijan";"2002";"MILLION KWH";"18701";""
"Azerbaijan";"2001";"MILLION KWH";"18969";""
"Azerbaijan";"2000";"MILLION KWH";"18699";""
"Azerbaijan";"1999";"MILLION KWH";"18177";""
"Azerbaijan";"1998";"MILLION KWH";"17998";""
"Azerbaijan";"1997";"MILLION KWH";"16836";""
"Azerbaijan";"1996";"MILLION KWH";"17088";""
"Azerbaijan";"1995";"MILLION KWH";"17045";""
"Bahamas";"2005";"MILLION KWH";"2090";""
"Bahamas";"2004";"MILLION KWH";"2087";""
"Bahamas";"2003";"MILLION KWH";"1990";""
"Bahamas";"2002";"MILLION KWH";"1886";""
"Bahamas";"2001";"MILLION KWH";"1770";""
"Bahamas";"2000";"MILLION KWH";"1705";""
"Bahamas";"1999";"MILLION KWH";"1607";""
"Bahamas";"1998";"MILLION KWH";"1532";""
"Bahamas";"1997";"MILLION KWH";"1414";""
"Bahamas";"1996";"MILLION KWH";"1340";""
"Bahamas";"1995";"MILLION KWH";"1304";""
"Bahrain";"2005";"MILLION KWH";"8698";""
"Bahrain";"2004";"MILLION KWH";"8448";""
"Bahrain";"2003";"MILLION KWH";"7768";""
"Bahrain";"2002";"MILLION KWH";"7278";""
"Bahrain";"2001";"MILLION KWH";"6779";""
"Bahrain";"2000";"MILLION KWH";"6297";""
"Bahrain";"1999";"MILLION KWH";"5956";""
"Bahrain";"1998";"MILLION KWH";"5773";""
"Bahrain";"1997";"MILLION KWH";"5040";""
"Bahrain";"1996";"MILLION KWH";"5016";""
"Bahrain";"1995";"MILLION KWH";"4611";""
"Bangladesh";"2005";"MILLION KWH";"22643";"2"
"Bangladesh";"2004";"MILLION KWH";"21466";"2"
"Bangladesh";"2003";"MILLION KWH";"19712";"2"
"Bangladesh";"2002";"MILLION KWH";"18665";"2"
"Bangladesh";"2001";"MILLION KWH";"17392";"2"
"Bangladesh";"2000";"MILLION KWH";"15771";"2"
"Bangladesh";"1999";"MILLION KWH";"14450";"2"
"Bangladesh";"1998";"MILLION KWH";"12882";"2"
"Bangladesh";"1997";"MILLION KWH";"12820";"2"
"Bangladesh";"1996";"MILLION KWH";"12404";"2"
"Bangladesh";"1995";"MILLION KWH";"11689";"2"
"Barbados";"2005";"MILLION KWH";"929";""
"Barbados";"2004";"MILLION KWH";"895";""
"Barbados";"2003";"MILLION KWH";"871";""
"Barbados";"2002";"MILLION KWH";"859";""
"Barbados";"2001";"MILLION KWH";"827";""
"Barbados";"2000";"MILLION KWH";"787";""
"Barbados";"1999";"MILLION KWH";"802";""
"Barbados";"1998";"MILLION KWH";"747";""
"Barbados";"1997";"MILLION KWH";"678";""
"Barbados";"1996";"MILLION KWH";"650";""
"Barbados";"1995";"MILLION KWH";"616";""
"Belarus";"2005";"MILLION KWH";"30961";""
"Belarus";"2004";"MILLION KWH";"31211";""
"Belarus";"2003";"MILLION KWH";"26627";""
"Belarus";"2002";"MILLION KWH";"26455";""
"Belarus";"2001";"MILLION KWH";"25042";""
"Belarus";"2000";"MILLION KWH";"26095";""
"Belarus";"1999";"MILLION KWH";"26516";""
"Belarus";"1998";"MILLION KWH";"23492";""
"Belarus";"1997";"MILLION KWH";"26057";""
"Belarus";"1996";"MILLION KWH";"23728";""
"Belarus";"1995";"MILLION KWH";"24918";""
"Belgium";"2005";"MILLION KWH";"86944";""
"Belgium";"2004";"MILLION KWH";"85643";""
"Belgium";"2003";"MILLION KWH";"84630";""
"Belgium";"2002";"MILLION KWH";"82069";""
"Belgium";"2001";"MILLION KWH";"79821";""
"Belgium";"2000";"MILLION KWH";"84012";""
"Belgium";"1999";"MILLION KWH";"84514";""
"Belgium";"1998";"MILLION KWH";"83183";""
"Belgium";"1997";"MILLION KWH";"78907";""
"Belgium";"1996";"MILLION KWH";"76462";""
"Belgium";"1995";"MILLION KWH";"74477";""
"Belize";"2005";"MILLION KWH";"175";""
"Belize";"2004";"MILLION KWH";"169";""
"Belize";"2003";"MILLION KWH";"169";""
"Belize";"2002";"MILLION KWH";"159";""
"Belize";"2001";"MILLION KWH";"147";""
"Belize";"2000";"MILLION KWH";"169";""
"Belize";"1999";"MILLION KWH";"167";""
"Belize";"1998";"MILLION KWH";"159";""
"Belize";"1997";"MILLION KWH";"167";""
"Belize";"1996";"MILLION KWH";"152";""
"Belize";"1995";"MILLION KWH";"148";""
"Benin";"2005";"MILLION KWH";"107";""
"Benin";"2004";"MILLION KWH";"81";""
"Benin";"2003";"MILLION KWH";"80";""
"Benin";"2002";"MILLION KWH";"63";""
"Benin";"2001";"MILLION KWH";"66";""
"Benin";"2000";"MILLION KWH";"84";""
"Benin";"1999";"MILLION KWH";"72";""
"Benin";"1998";"MILLION KWH";"79";""
"Benin";"1997";"MILLION KWH";"50";""
"Benin";"1996";"MILLION KWH";"48";""
"Benin";"1995";"MILLION KWH";"35";""
"Bermuda";"2005";"MILLION KWH";"665";""
"Bermuda";"2004";"MILLION KWH";"661";""
"Bermuda";"2003";"MILLION KWH";"664";""
"Bermuda";"2002";"MILLION KWH";"644";""
"Bermuda";"2001";"MILLION KWH";"615";""
"Bermuda";"2000";"MILLION KWH";"603";""
"Bermuda";"1999";"MILLION KWH";"550";""
"Bermuda";"1998";"MILLION KWH";"530";""
"Bermuda";"1997";"MILLION KWH";"530";""
"Bermuda";"1996";"MILLION KWH";"525";""
"Bermuda";"1995";"MILLION KWH";"521";""
"Bhutan";"2005";"MILLION KWH";"2050";""
"Bhutan";"2004";"MILLION KWH";"1952";""
"Bhutan";"2003";"MILLION KWH";"1900";""
"Bhutan";"2002";"MILLION KWH";"1898";""
"Bhutan";"2001";"MILLION KWH";"1896";""
"Bhutan";"2000";"MILLION KWH";"1810";""
"Bhutan";"1999";"MILLION KWH";"1800";""
"Bhutan";"1998";"MILLION KWH";"1801";""
"Bhutan";"1997";"MILLION KWH";"1838";""
"Bhutan";"1996";"MILLION KWH";"1972";""
"Bhutan";"1995";"MILLION KWH";"1630";""
"Bolivia";"2005";"MILLION KWH";"5230";""
"Bolivia";"2004";"MILLION KWH";"4541";""
"Bolivia";"2003";"MILLION KWH";"4269";""
"Bolivia";"2002";"MILLION KWH";"4188";""
"Bolivia";"2001";"MILLION KWH";"3981";""
"Bolivia";"2000";"MILLION KWH";"3880";""
"Bolivia";"1999";"MILLION KWH";"3881";""
"Bolivia";"1998";"MILLION KWH";"3710";""
"Bolivia";"1997";"MILLION KWH";"3471";""
"Bolivia";"1996";"MILLION KWH";"3220";""
"Bolivia";"1995";"MILLION KWH";"3002";""
"Bosnia and Herzegovina";"2005";"MILLION KWH";"12718";""
"Bosnia and Herzegovina";"2004";"MILLION KWH";"12599";""
"Bosnia and Herzegovina";"2003";"MILLION KWH";"11250";""
"Bosnia and Herzegovina";"2002";"MILLION KWH";"10785";""
